IID,Species
CH100,A_chrysopterus
CH131,A_chrysopterus
CH167,A_chrysopterus
CH176,A_chrysopterus
CH29,A_chrysopterus
GB060,A_perideraion
GB086,A_perideraion
GB174_SAN,A_sandaracinos
GB206_SAN,A_sandaracinos
GB227_SAN,A_sandaracinos
Hybrid,Hybrid
LU009,A_leucokranos
LU050,A_leucokranos
LU130,A_leucokranos
LU131,A_leucokranos
LU14,A_leucokranos
LU62,A_leucokranos
NC005,A_perideraion
NC019,A_perideraion
PRDHC_18,A_perideraion
PRDHC_25,A_perideraion
PRDHC_9,A_perideraion
PRDHM_11,A_perideraion
PRDHM_12,A_perideraion
PRDHM_7,A_perideraion
PRD_11,A_perideraion
PRD_323,A_perideraion
PRD_342,A_perideraion
PRD_41,A_perideraion
SA173,A_sandaracinos
SA188,A_sandaracinos
SA200,A_sandaracinos
SA238,A_sandaracinos
SA260,A_sandaracinos
SA262,A_sandaracinos
SANSM_22,A_sandaracinos
SANSM_23,A_sandaracinos
SANSM_4,A_sandaracinos
SANSM_8,A_sandaracinos
